Country,Medals
USA,2133
Russia,1654
Germany,1569
UK,804
France,761
Italy,660
Sweden,575
China,521
Australia,497
Hungary,471
Canada,453
Japan,434
Norway,402
Finland,397
Netherlands,367
Switzerland,309
Poland,305
South Korea,294
Romania,285
Austria,271
Czech Republic,247
Bulgaria,217
Cuba,212
Denmark,205
Belgium,151
Spain,149
Ukraine,131
Brazil,127
New Zealand,116
Serbia,111
Greece,101
Belarus,93
Turkey,92
South Africa,85
Kenya,79
Kazakhstan,77
Argentina,74
Iran,66
Jamaica,65
Mexico,64
North Korea,55
Azerbaijan,44
Croatia,44
Ethiopia,42
Estonia,39
Slovenia,38
Uzbekistan,34
Ireland,33
Slovakia,32
Georgia,31
India,29
Thailand,29
Colombia,28
Mongolia,26
Latvia,26
Indonesia,25
Egypt,25
Portugal,24
Lithuania,24
Taiwan,24
Nigeria,24
Morocco,23
Trinidad,21
Algeria,17
Armenia,16
Venezuela,15
Bahamas,14
Tunisia,13
Chile,12
Malaysia,11
Uruguay,10
Philippines,10
Pakistan,10
Puerto Rico,9
Liechtenstein,9
Israel,9
Zimbabwe,8
Luxembourg,8
Moldova,7
Dominican Republic,7
Uganda,7
Qatar,5
Singapore,5
Individual Olympic Athletes,5
Cameroon,5
Syria,5
Tajikistan,4
Peru,4
Vietnam,4
Lebanon,4
Iceland,4
Namibia,4
Costa Rica,4
Ghana,4
Bahrain,3
Ivory Coast,3
Panama,3
Haiti,3
Kyrgyzstan,3
Saudi Arabia,3
Grenada,2
Sri Lanka,2
Suriname,2
Niger,2
Ecuador,2
Burundi,2
United Arab Emirates,2
Zambia,2
Tanzania,2
Afghanistan,2
Kuwait,2
Mozambique,2
Iraq,1
Djibouti,1
Paraguay,1
"Virgin Islands, US",1
Nepal,1
Barbados,1
Bermuda,1
Botswana,1
Montenegro,1
Monaco,1
Curacao,1
Cyprus,1
Mauritius,1
Sudan,1
Eritrea,1
Tonga,1
Togo,1
Fiji,1
Macedonia,1
Gabon,1
Senegal,1
Guatemala,1
Kosovo,1
Jordan,1
Guyana,1
