,Country,Medal_ratio %
0,Azerbaijan,15.548
1,Russia,14.146
2,Kosovo,12.5
3,USA,11.515
4,Ethiopia,11.111
5,Georgia,10.839
6,Kenya,10.233
7,Germany,10.038
8,China,8.943
9,Cuba,8.552
10,Iran,8.365
11,Norway,8.206
12,Jamaica,7.665
13,Hungary,7.299
14,Finland,7.286
15,Armenia,7.24
16,Sweden,7.016
17,Uzbekistan,6.869
18,North Korea,6.815
19,Turkey,6.8
20,UK,6.699
21,South Korea,6.586
22,Romania,6.471
23,Australia,6.444
24,Netherlands,6.403
25,Italy,6.247
26,Bulgaria,6.149
27,France,6.149
28,Indonesia,6.068
29,Denmark,5.92
30,Tajikistan,5.714
31,Austria,5.444
32,Kazakhstan,5.388
33,Individual Olympic Athletes,5.319
34,Trinidad,5.316
35,Belarus,5.204
36,Namibia,5.195
37,Japan,5.152
38,Burundi,5.128
39,Ukraine,5.119
40,Switzerland,5.116
41,Croatia,5.023
42,South Africa,5.003
43,New Zealand,4.953
44,Poland,4.953
45,Mongolia,4.727
46,Canada,4.681
47,Estonia,4.452
48,Niger,4.255
49,Belgium,4.027
50,Thailand,3.882
51,Czech Republic,3.874
52,Greece,3.746
53,Bahamas,3.743
54,Grenada,3.704
55,Lithuania,3.67
56,Slovenia,3.42
57,Serbia,3.372
58,Morocco,3.372
59,Brazil,3.3
60,Algeria,3.085
61,Slovakia,3.033
62,Moldova,2.991
63,Suriname,2.899
64,Haiti,2.83
65,Spain,2.804
66,Latvia,2.775
67,Nigeria,2.721
68,Uganda,2.692
69,Djibouti,2.632
70,Colombia,2.619
71,Qatar,2.604
72,Mozambique,2.564
73,Dominican Republic,2.527
74,Ireland,2.494
75,Zimbabwe,2.477
76,Liechtenstein,2.439
77,Bahrain,2.381
78,Eritrea,2.326
79,Tunisia,2.317
80,Argentina,2.245
81,Mexico,2.234
82,Taiwan,2.188
83,Tonga,2.174
84,Panama,2.158
85,India,2.06
86,Malaysia,1.906
87,Vietnam,1.852
88,Syria,1.792
89,Pakistan,1.779
90,Uruguay,1.748
91,Togo,1.695
92,Venezuela,1.622
93,Cameroon,1.603
94,Afghanistan,1.587
95,Gabon,1.587
96,Portugal,1.577
97,Ivory Coast,1.554
98,Egypt,1.548
99,Costa Rica,1.515
100,Philippines,1.441
101,Singapore,1.433
102,United Arab Emirates,1.389
103,Sri Lanka,1.37
104,Israel,1.353
105,Kyrgyzstan,1.322
106,Saudi Arabia,1.304
107,Chile,1.297
108,Curacao,1.266
109,Jordan,1.25
110,Tanzania,1.242
111,Lebanon,1.216
112,Macedonia,1.19
113,Ghana,1.114
114,Botswana,1.111
115,Zambia,1.093
116,Nepal,1.064
117,Montenegro,1.064
118,Guyana,0.98
119,Puerto Rico,0.971
120,Sudan,0.935
121,Luxembourg,0.823
122,Peru,0.753
123,Paraguay,0.741
124,Ecuador,0.722
125,Kuwait,0.704
126,Mauritius,0.694
127,Iceland,0.638
128,Monaco,0.508
129,Bermuda,0.472
130,Barbados,0.457
131,Cyprus,0.444
132,Iraq,0.431
133,Fiji,0.431
134,"Virgin Islands, US",0.34
135,Senegal,0.254
136,Guatemala,0.235
