,Country,Season,Medals,Medals_Ratio
0,Australia,Summer,484,0.9738430583501007
1,Australia,Winter,13,0.026156941649899398
2,Austria,Summer,96,0.35424354243542433
3,Austria,Winter,175,0.6457564575645757
4,Belarus,Summer,79,0.8494623655913979
5,Belarus,Winter,14,0.15053763440860216
6,Belgium,Summer,146,0.9668874172185431
7,Belgium,Winter,5,0.033112582781456956
8,Bulgaria,Summer,211,0.9723502304147466
9,Bulgaria,Winter,6,0.027649769585253458
10,Canada,Summer,297,0.6556291390728477
11,Canada,Winter,156,0.3443708609271523
12,China,Summer,473,0.9078694817658349
13,China,Winter,48,0.09213051823416507
14,Croatia,Summer,33,0.75
15,Croatia,Winter,11,0.25
16,Czech Republic,Summer,199,0.805668016194332
17,Czech Republic,Winter,48,0.19433198380566802
18,Denmark,Summer,204,0.9951219512195122
19,Denmark,Winter,1,0.004878048780487805
20,Estonia,Summer,33,0.8461538461538461
21,Estonia,Winter,6,0.15384615384615385
22,Finland,Summer,257,0.6473551637279596
23,Finland,Winter,140,0.3526448362720403
24,France,Summer,668,0.8777923784494087
25,France,Winter,93,0.12220762155059132
26,Germany,Summer,1255,0.7998725302740599
27,Germany,Winter,314,0.2001274697259401
28,Hungary,Summer,465,0.9872611464968153
29,Hungary,Winter,6,0.012738853503184714
30,India,Summer,28,0.9655172413793104
31,India,Winter,1,0.034482758620689655
32,Italy,Summer,553,0.8378787878787879
33,Italy,Winter,107,0.1621212121212121
34,Japan,Summer,396,0.9124423963133641
35,Japan,Winter,38,0.08755760368663594
36,Kazakhstan,Summer,70,0.9090909090909091
37,Kazakhstan,Winter,7,0.09090909090909091
38,Latvia,Summer,19,0.7307692307692307
39,Latvia,Winter,7,0.2692307692307692
40,Luxembourg,Summer,6,0.75
41,Luxembourg,Winter,2,0.25
42,Netherlands,Summer,291,0.7929155313351499
43,Netherlands,Winter,76,0.20708446866485014
44,New Zealand,Summer,115,0.9913793103448276
45,New Zealand,Winter,1,0.008620689655172414
46,North Korea,Summer,53,0.9636363636363636
47,North Korea,Winter,2,0.03636363636363636
48,Norway,Summer,152,0.3781094527363184
49,Norway,Winter,250,0.6218905472636815
50,Poland,Summer,286,0.9377049180327869
51,Poland,Winter,19,0.06229508196721312
52,Romania,Summer,284,0.9964912280701754
53,Romania,Winter,1,0.0035087719298245615
54,Russia,Summer,1376,0.8319226118500604
55,Russia,Winter,278,0.16807738814993953
56,Serbia,Summer,107,0.963963963963964
57,Serbia,Winter,4,0.036036036036036036
58,Slovakia,Summer,27,0.84375
59,Slovakia,Winter,5,0.15625
60,Slovenia,Summer,23,0.6052631578947368
61,Slovenia,Winter,15,0.39473684210526316
62,South Korea,Summer,252,0.8571428571428571
63,South Korea,Winter,42,0.14285714285714285
64,Spain,Summer,147,0.9865771812080537
65,Spain,Winter,2,0.013422818791946308
66,Sweden,Summer,447,0.7773913043478261
67,Sweden,Winter,128,0.22260869565217392
68,Switzerland,Summer,182,0.5889967637540453
69,Switzerland,Winter,127,0.4110032362459547
70,UK,Summer,777,0.9664179104477612
71,UK,Winter,27,0.033582089552238806
72,USA,Summer,1891,0.886544772620722
73,USA,Winter,242,0.11345522737927802
74,Ukraine,Summer,124,0.9465648854961832
75,Ukraine,Winter,7,0.05343511450381679
76,Uzbekistan,Summer,33,0.9705882352941176
77,Uzbekistan,Winter,1,0.029411764705882353
